Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0805_2012Metric",65.700000,20.550000,-90.000000,bottom
"C11","10u","C_0805_2012Metric",88.200000,35.700000,180.000000,bottom
"C34","0.1u","C_0805_2012Metric",191.750000,49.150000,-90.000000,bottom
"C35","0.1u","C_0805_2012Metric",191.750000,59.050000,90.000000,bottom
"C36","0.1u","C_0805_2012Metric",194.500000,49.150000,-90.000000,bottom
"C37","0.1u","C_0805_2012Metric",194.500000,59.050000,90.000000,bottom
"C39","0.1u","C_0805_2012Metric",190.750000,26.750000,-90.000000,bottom
"C46","0.1u","C_0805_2012Metric",207.250000,26.200000,180.000000,bottom
